Sheep,Image,Lacunarity,Entropy,FociCount,FociSize,Scale,Directionality,TissueToSinusoid,Lobular_collapse,Interface_hepatitis,Confluent_necrosis,Ln_ap_ri,Portal_inflammation,BD_hyperplasia,Fibrosis,TawfikTotal,Mean_hep_size,Min_hep_size,Max_hep_size,ID,Sex,AgeAtDeath,Weight,Foreleg,Hindleg,Inflammation
1.0,0.12651869158878506,0.6694814390252911,0.2535748743914933,0.056565316578780056,0.13322520428371712,0.21463052357965098,0.14911112439478158,0.17460190339719905,,,,,,,,,,,,0.6688437348814708,0.0,0.18181818181818182,0.2957317073170734,0.5348837209302325,0.5178571428571429,0.020017656411607066
2.0,0.0,0.4387006868507424,0.2062486067343846,0.37866038370918886,0.4682033410185137,0.3093204604530264,0.3854383347441707,0.12657217707575125,,,,,,,,,,,,0.18577648766328012,0.0,0.8181818181818182,0.24390243902439038,0.3488372093023256,0.44642857142857145,0.34138939446156885
3.0,0.3157282881240028,0.6258669048181468,0.3597421327676017,0.2915035040623042,0.1865142292192225,0.23726372800304316,0.21499797426031803,0.23620214934322095,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.4,0.07142857142857142,0.42857142857142955,0.45317002881844287,0.026832722123379622,0.5476536042573779,1.0,0.36363636363636365,,,,0.11728980970111583
4.0,0.298274622573688,0.5004536751077148,0.4761020271431118,0.47402670256928087,0.7921767729100851,0.3908994829900883,0.2304817235550001,0.3456178219958648,0.5,0.0,0.5,0.0,1.0,1.0,0.6,0.6428571428571429,0.36881868131868084,0.3912103746397694,0.0066083293998038745,0.3011611030478955,0.0,0.7272727272727273,,,,0.6746554213601821
5.0,,,,,,,,,,,,,,,,,,,,0.2910014513788099,0.0,0.7272727272727273,,,,
6.0,0.28682242990654205,0.43105483382695214,0.6560467403445777,0.34438460675417937,0.3226026893893548,0.27750464166357214,0.11469045620621272,0.4259857551514176,0.5,0.0,0.5,0.0,0.6666666666666666,0.3333333333333333,0.4,0.35714285714285715,0.32417582417582613,0.34365994236311176,0.007733923967902317,0.6112723754233188,1.0,0.2727272727272727,0.6615853658536592,0.7209302325581395,0.8392857142857143,0.22365656522034366
7.0,0.22599606492867683,0.18566360567157822,0.6998690115411051,0.3383585183085618,0.5449264860648043,0.40102018879355833,0.37543547417582607,0.38370073598395404,,,,,,,,,,,,0.18093855829704886,0.0,0.8181818181818182,0.3475609756097564,0.4418604651162791,0.48214285714285715,0.3428199963157337
8.0,0.025233644859813085,0.2988896815503668,0.7097378212590351,0.509755680573587,0.35229293785476234,0.40851944193941975,0.5118582325288238,0.41531322661279185,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.4,0.14285714285714285,0.48489010989010883,0.5381844380403472,0.01935296467085424,0.5928882438316401,1.0,,,,,0.346383134152219
9.0,0.026074766355140184,0.1080497095461951,0.9670559216808954,0.5099293167283744,0.25191667373560156,0.7032305978462681,0.6185567918868335,0.6147283855931386,,,,,,,,,,,,0.9576681180454766,0.0,0.0,0.0762195121951221,0.3023255813953488,0.30357142857142855,0.2649804910188793
10.0,0.20292056074766357,0.370687841192978,0.6870651520232158,0.2783855043195333,0.23331411963663828,0.4987003341997772,0.35345003567445976,0.3914434142288904,,,,,,,,,,,,0.42501209482341556,1.0,0.5454545454545454,0.8079268292682928,0.7209302325581395,0.5535714285714286,0.13768133493538157
11.0,0.31382924981055826,0.4268385292406464,0.45878173473842193,0.3362837762029954,0.6877491812691344,0.33184131030399144,0.08979412686409165,0.26935609950313455,0.5,0.0,0.5,0.6666666666666666,1.0,0.3333333333333333,0.6,0.6428571428571429,0.5659340659340673,0.2312680115273778,0.027123198140953573,0.2624576681180455,0.0,0.7272727272727273,0.41768292682926805,0.6046511627906976,0.625,0.43244205117972934
12.0,0.5536945093457945,0.39295565391327325,0.7230448526447746,0.40258961629081125,0.4401299605793594,0.3164222057185296,0.30748137003508685,0.5094325815391915,,,,,,,,,,,,0.9593613933236574,1.0,0.0,0.15243902439024382,0.37209302325581395,0.4107142857142857,0.33041445166878286
13.0,1.0,0.2723812659057783,0.6524157102071456,0.3665058528740791,0.5718117209999213,0.3934892932293601,0.4846008693533906,0.3521802277556942,,,,,,,,,,,,0.6320754716981132,0.0,0.2727272727272727,0.34451219512195136,0.6046511627906976,0.6428571428571429,0.3889767011652543
14.0,0.3281268641877113,0.35363246478117544,0.6359932156557502,0.23901258262494898,0.27068604545813413,0.3399435889737777,0.20256366414470514,0.3802756432632918,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.2,0.0,0.6614010989010988,0.6916426512968297,0.034929741113249285,0.6894049346879536,1.0,0.18181818181818182,0.5731707317073171,0.6744186046511628,0.6785714285714286,0.13879900332156628
15.0,0.28196686491079015,0.37080456120538424,0.7376764495020534,0.33059473904307296,0.6070847385038123,0.264557944840158,0.12546288630591987,0.4857138749763378,,,,,,,,,,,,0.5341074020319303,1.0,0.36363636363636365,,,,0.37604667556955573
16.0,0.24104771273979342,0.39652180739223286,0.6001195898391364,0.3613881556803487,0.4619299402494705,0.35716379697852135,0.2982120342396171,0.35968491695841953,0.0,0.0,0.25,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.6318681318681332,0.6916426512968304,0.027123198140953493,0.957426221577165,0.0,0.0,0.021341463414634394,0.09302325581395349,0.05357142857142857,0.32858899060539004
17.0,0.3135514018691589,0.5911314517809562,0.6327066533985493,0.388113907692052,0.6423837963571528,0.19990097784379257,0.20639255766676387,0.41707945539719626,,,,,,,,,,,,0.6724721819061442,1.0,0.18181818181818182,,,,0.44075804538498964
18.0,0.22519116397621072,0.5633631246644129,0.585553011985584,0.39191987189294497,0.4380140497768371,0.31620700131654456,0.22243773729061758,0.3710986664201111,,,,,,,,,,,,0.25665215287856796,1.0,0.7272727272727273,1.0,0.8604651162790697,0.9107142857142857,0.3124639379655132
19.0,0.26429906542056075,0.2000124764758218,0.8134782533850795,0.27656232469426684,0.18278153944664283,0.33457111028592645,0.25008476354267417,0.49440716375290517,1.0,0.0,0.5,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.8,0.7142857142857143,0.3214285714285705,0.15417867435158425,0.01161904070295191,0.2711659409772617,1.0,0.7272727272727273,,,,0.10916137709474481
20.0,0.2583444592790387,0.18539613371148553,0.8473143772757673,0.38907855299642585,0.33565286683420553,0.42835923823669847,0.6072910583568155,0.505392024617769,,,,,,,,,,,,0.9678277697145622,1.0,0.0,,,,0.2626697216010292
21.0,0.21904205607476637,0.03482722347306656,0.8076050190493885,0.3634672201653017,1.0,0.6407352395098403,0.4788764199040021,0.43872040764993137,0.0,0.0,0.25,0.3333333333333333,1.0,0.6666666666666666,0.4,0.42857142857142855,0.6881868131868142,0.6916426512968304,0.04259104607675832,1.0,0.0,0.0,0.009146341463414817,0.046511627906976744,0.07142857142857142,0.6514289361484908
22.0,0.2027102803738318,0.13453121349016356,0.8303828269168886,0.41694715583978464,0.36087687265534263,0.6350538432974379,0.8372138774732594,0.4671187095654588,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.4,0.07142857142857142,0.7486263736263742,0.6916426512968302,0.0504338985512509,0.7733430091920658,0.0,0.09090909090909091,,,,0.2911812227796938
23.0,0.188411214953271,0.46795137672584086,0.8214861053031407,0.31615136798576726,0.7424089403802712,0.33962124025250645,0.3354089004635323,0.6512739332607624,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.4,0.14285714285714285,0.6394230769230762,0.5389048991354474,0.031044624378199718,0.6047411707789067,0.0,0.2727272727272727,0.4481707317073168,0.7209302325581395,0.8214285714285714,0.42244375239547216
24.0,0.012616822429906542,0.0,0.8596649805278066,0.551862448109503,0.22549826191960992,0.6123282584478278,0.9088515584157694,0.4600866960191958,,,,,,,,,,,,0.9358974358974359,1.0,0.0,0.09451219512195136,0.18604651162790697,0.23214285714285715,0.25639226600942533
25.0,0.017423230974632845,0.1639020161458041,0.9187233611648354,0.5766056001666907,0.4456050318214642,0.698901915017771,0.7857293058510585,0.6148440039431748,,,,,,,,,,,,0.9337203676826318,0.0,0.0,0.1798780487804879,0.37209302325581395,0.35714285714285715,0.4960962149479737
26.0,0.10201043251467072,0.3100437490909587,0.8638014582336947,0.38459631737284716,0.7581921557408147,0.21419010526861199,0.4869033487953732,0.618513800540122,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.4,0.14285714285714285,0.6270604395604399,0.4610951008645521,0.031044624378199718,0.9400096758587324,1.0,0.0,0.039634146341463596,0.046511627906976744,0.05357142857142857,0.5257043526516161
27.0,0.26482582837723023,0.2727042652608961,0.7878086892488422,0.37976534105783527,0.5720053226198948,0.29554737872598985,0.38239468750330335,0.5145283840390105,0.0,0.0,0.25,0.3333333333333333,0.3333333333333333,0.0,0.6,0.21428571428571427,0.6614010989011005,0.7687319884726217,0.031044624378199718,0.4332365747460087,0.0,0.5454545454545454,0.41768292682926805,0.6046511627906976,0.6785714285714286,0.3928966357581287
28.0,0.1929093864282812,0.3673181428758547,0.6732369250038515,0.5165878857945649,0.6218954681236256,0.3389625276481699,0.5763353191032886,0.40864467571012547,,,,,,,,,,,,0.7677793904208998,0.0,0.09090909090909091,,,,0.5825777264517434
29.0,0.7246261682242991,0.2602308727156147,0.7425839383159639,0.3859531022102547,0.6613884997205072,0.6047530634979575,0.801884505311668,0.4792182376442932,,,,,,,,,,,,0.5391872278664731,0.0,0.36363636363636365,0.3871951219512197,0.5581395348837209,0.6428571428571429,0.47982807506177444
30.0,0.31732309746328435,0.15204286816177318,0.6839713633783487,0.09910617450166424,0.16410373523624455,0.3832687921065195,0.21067594558875646,0.3562783261178802,0.5,0.0,0.25,0.3333333333333333,0.3333333333333333,0.0,0.4,0.21428571428571427,0.22184065934065994,0.15417867435158425,0.011619040702951885,0.299225931301403,0.0,0.7272727272727273,,,,0.04126838612203467
31.0,0.3077978971962617,0.4129124662590628,0.7454598021249507,0.3148490968248626,0.49517560903391833,0.546045302636465,0.4962332065320064,0.47860018422311856,0.5,0.5,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.4,0.35714285714285715,0.6593406593406597,0.5381844380403461,0.04266366508115178,0.7232704402515723,1.0,0.18181818181818182,,,,0.300184578323026
32.0,0.07476635514018692,0.32701695698352207,0.7764352906310872,0.32193923981200995,0.4302765442998329,0.30090357717539307,0.19239086829336222,0.5273475687504428,,,,,,,,,,,,0.5149975810353169,0.0,0.45454545454545453,,,,0.2679264975929342
33.0,0.15164925783397473,0.056925184702652086,0.8969743762482844,0.3700807148844055,0.6517194322482245,1.0,1.0,0.518821080248739,0.0,0.5,0.0,0.3333333333333333,1.0,0.6666666666666666,0.4,0.42857142857142855,0.5885989010989019,0.3436599423631123,0.04266366508115178,0.5694242864054185,0.0,0.36363636363636365,0.2835365853658538,0.4883720930232558,0.5535714285714286,0.4353044436749482
34.0,0.18452102803738318,0.16476802827239684,0.9163075775046639,0.4128450016829351,0.3820415032512358,0.9437430375046417,0.835281957996707,0.6014951278821841,,,,,,,,,,,,0.9675858732462506,1.0,0.0,0.17987804878048785,0.32558139534883723,0.4107142857142857,0.29398448502924
35.0,0.24042056074766355,0.2626697666261866,0.9303388548811928,0.3178877295336401,0.277456516401335,0.6401039732640179,0.3590493081839406,0.7240244898203672,0.5,1.0,0.5,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.4,0.5714285714285714,,,,0.18650217706821481,0.0,0.8181818181818182,,,,0.17632655649696566
36.0,0.09375531011045031,0.294576091565792,0.9314130241770554,0.4773699068549288,0.3232068086320216,0.6261013401748643,0.6649329764570604,0.7619152864566948,0.5,0.5,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.4,0.6428571428571429,0.47664835164835173,0.4610951008645562,0.02327439090810086,0.2660861151427189,0.0,0.7272727272727273,,,,0.2962899231264636
37.0,0.22727803738317756,0.26932598985977263,0.9267566725596313,0.4242398743408505,0.4787098163853097,0.8648347567768288,0.8001065182708842,0.7070345596785146,0.0,0.0,0.25,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.4,0.2857142857142857,0.3914835164835164,0.30835734870316905,0.013724991830361964,0.17537493952588293,0.0,0.8181818181818182,,,,0.39066964948234123
38.0,0.28937292734398556,0.867225277288279,0.7009554904914679,0.6515492050393952,0.7956811958782735,0.03319238647389298,0.08880230650943165,0.8382408859700243,,,,,,,,,,,,0.942428640541848,0.0,0.0,0.09451219512195158,0.3023255813953488,0.2857142857142857,0.9300110679647474
39.0,0.18700934579439255,0.17070628537854438,0.9885948926354784,0.47832753655708893,0.360331356556428,0.40022279985146675,0.37223832116726957,0.7474490879355208,0.0,0.5,0.25,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.4,0.35714285714285715,0.5659340659340658,0.15417867435158453,0.038778548346102136,0.7813255926463474,0.0,0.09090909090909091,,,,0.34870187545524034
40.0,0.27354733848029256,0.44094856326361126,0.8974152934882168,0.2137815306416129,0.27684116380520885,0.2697977041928349,0.05047466983856979,0.980368786956599,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.4,0.07142857142857142,0.6758241758241753,0.6152737752161385,0.03877854834610211,0.9417029511369134,1.0,0.0,0.12500000000000036,0.32558139534883723,0.4107142857142857,0.12805479178868054
41.0,0.4174065420560748,0.5624323578237918,0.8233422447643931,0.27610652978795025,0.26920917036636427,0.16965280356479767,0.26576400099731445,0.873640981467399,,,,,,,,,,,,0.5384615384615384,0.0,0.36363636363636365,0.3658536585365857,0.627906976744186,0.6785714285714286,0.15763192019771222
42.0,0.3084936778449698,0.532552605760351,0.8534696007179104,0.23495093089406752,0.28567164542325685,0.34496843668770877,0.16454288374372428,0.8001102894918535,0.5,0.0,0.25,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6,0.42857142857142855,0.6023351648351656,0.6152737752161377,0.04259104607675835,0.2597968069666183,0.0,0.7272727272727273,,,,0.14489937633866712
43.0,0.3088785046728972,0.45810483735823926,0.8948992929093665,0.24901205480135138,0.2957825273544076,0.26513182324545115,0.2332746948605228,0.9142604300588082,,,,,,,,,,,,0.6318335752298017,0.0,0.2727272727272727,0.24695121951219517,0.3023255813953488,0.4642857142857143,0.16266583352140385
44.0,0.27573687994248747,0.5554203771218323,0.8444891025606202,0.19166760163057706,0.32640003068004997,0.25493444542831856,0.28829769988396664,0.817937455016204,0.5,0.5,0.25,0.3333333333333333,0.6666666666666666,0.0,0.8,0.5,0.4622252747252762,0.23054755043227734,0.04259104607675837,0.2985002418964683,0.0,0.7272727272727273,0.43902439024390305,0.6046511627906976,0.625,0.12709322952788163
45.0,0.2721470732907034,0.5520925091762481,0.8531010361859103,0.4707789331963366,0.5556011302628587,0.25749017921707357,0.38189584666209897,0.9511944000115554,0.5,1.0,0.25,0.3333333333333333,1.0,0.3333333333333333,0.6,0.6428571428571429,0.7122252747252756,0.6916426512968307,0.04259104607675837,0.9920174165457184,0.0,0.0,0.0,0.023255813953488372,0.0,0.48507409146565683
46.0,0.27156208277703603,0.7629837115888309,0.7589903473724363,0.18071516725168696,0.2563635575326987,0.07845737626651111,0.18726490105627397,0.8981611839363558,0.5,0.5,0.25,0.3333333333333333,0.3333333333333333,0.0,0.4,0.2857142857142857,0.6442307692307705,0.6930835734870314,0.03485712210885593,0.6669085631349783,0.0,0.18181818181818182,,,,0.12770462837188012
47.0,0.19961615487316423,0.37302060546124727,0.9075517493864467,0.29922184289400716,0.23828679897784655,0.2957933266139729,0.22095749598901573,0.7785605567069492,1.0,0.0,0.25,0.6666666666666666,0.6666666666666666,0.0,0.4,0.42857142857142855,0.42925824175824284,0.31556195965417855,0.034857122108855956,0.1918238993710692,0.0,0.8181818181818182,,,,0.15302371272403792
48.0,0.2079672897196262,0.8756086331033719,0.7095042866464043,0.17081790642881184,0.34290355739349976,0.029038247307835226,0.04327523336318622,1.0,0.5,0.0,0.25,0.6666666666666666,0.3333333333333333,0.0,0.4,0.2857142857142857,0.7245879120879123,0.6916426512968302,0.030972005373806306,0.9429124334784712,0.0,0.0,0.06402439024390275,0.3488372093023256,0.16071428571428573,0.12371960147582396
49.0,,,,,,,,,,,,,,,,,,,,0.9586357039187228,1.0,0.0,,,,
50.0,0.21688918558077436,0.6783228624991582,0.8109494487235587,0.12341523617188377,0.29065870242697867,0.09288631902816827,0.21152842287414228,0.9148163337189895,0.0,0.0,0.25,0.0,0.3333333333333333,0.0,0.4,0.07142857142857142,0.6483516483516488,0.3854466858789623,0.019425583675247767,0.6952104499274311,1.0,0.18181818181818182,,,,0.08454333386084627
51.0,0.25009345794392523,0.4649540714312828,0.7296187625990919,0.08330528441602154,0.34926797124971287,0.4178982547344969,0.3368621262854056,0.5142280154096234,0.0,0.0,0.25,0.3333333333333333,0.3333333333333333,0.0,0.2,0.07142857142857142,0.6758241758241749,0.46181556195965434,0.03877854834610211,0.6214320270924044,0.0,0.2727272727272727,0.27439024390243905,0.4883720930232558,0.5892857142857143,0.06773278259847564
52.0,0.1560747663551402,0.24797819570390567,0.7214420047230546,0.3246402466642566,0.5093923796072942,0.371044271155671,0.30006591472658073,0.41368623655343717,0.5,0.5,0.25,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.4,0.42857142857142855,0.3949175824175832,0.3825648414985587,0.015504157438001506,0.25834542815674894,0.0,0.7272727272727273,,,,0.30672815243875495
53.0,0.25680490654205607,0.26504552607819304,0.6520695562309536,0.3228255076854034,0.25843861897511367,0.4702933531377646,0.7934658977026315,0.34815403230668135,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.2,0.0,0.5068681318681331,0.07780979827089272,0.034857122108855956,0.9511369134010643,0.0,0.0,,,,0.17230429604939226
54.0,0.26330759853718,0.1982347604113912,0.6851269066129898,0.19237898721457178,0.2972355767377697,0.4262419477227596,0.2012851567732202,0.38324378335401427,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.4,0.07142857142857142,0.8063186813186838,0.7694524495677224,0.04647616281180781,0.5732946298984035,1.0,0.36363636363636365,,,,0.11394153396294848
55.0,0.2863883026831474,0.19869209797204782,0.76963325417752,0.3927753227435099,0.28707023022612116,0.5341326976749758,0.5948375619201056,0.4368933227097388,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.4,0.07142857142857142,0.44711538461538536,0.3847262247838616,0.05043389855125084,0.7631833575229802,0.0,0.09090909090909091,,,,0.229990135551086
56.0,0.3164719626168224,0.2624783649501515,0.5029496888641235,0.1750719922211003,0.19741377254489986,0.3366753311053348,0.3961107152701641,0.2546113764467365,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.4,0.0,0.651098901098903,0.5389048991354474,0.04259104607675835,0.5706337687469762,0.0,0.36363636363636365,0.28963414634146367,0.6511627906976745,0.6964285714285714,0.0738136971066879
57.0,0.2913885180240321,0.23222704197506003,0.8670786803822842,0.3987525673345744,0.6717699182824989,0.47319202467470456,0.2934018233977588,0.5909872003560426,0.5,1.0,0.5,1.0,1.0,0.6666666666666666,0.6,0.9285714285714286,0.5288461538461542,0.5389048991354476,0.023238081405903784,0.814707305273343,1.0,0.09090909090909091,0.23780487804878064,0.6976744186046512,0.6071428571428571,0.4913938799787821
58.0,0.2851607020743105,0.23418285466739644,0.6649223217526415,0.17321916739867502,0.14644372356200558,0.37029154175685836,0.389357200234428,0.37348597514476445,0.5,1.0,0.25,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.4,0.5,0.5817307692307714,0.5389048991354474,0.02323808140590385,0.28205128205128205,0.0,0.7272727272727273,0.2804878048780485,0.627906976744186,0.6785714285714286,0.06300253289360233
59.0,0.30665887850467294,0.2214990262228149,0.7242311526972576,0.1517758081204732,0.21552490700266339,0.4650328010892439,0.3731554827300121,0.404129286715213,1.0,0.5,0.25,0.6666666666666666,0.3333333333333333,0.0,0.4,0.42857142857142855,0.7925824175824183,0.38472622478386187,0.06582912748266218,0.41678761490082245,0.0,0.5454545454545454,,,,0.07844699626848532
60.0,0.2428437917222964,0.3687283452069993,0.6669019262910982,0.26301870462085875,0.22186425781054864,0.5041111877353988,0.47897250069362507,0.3910320355131164,,,,,,,,,,,,0.816884373488147,1.0,0.09090909090909091,,,,0.12840658517965223
61.0,0.32586674706059693,0.17073324091433686,0.619764560505111,0.07048421479317996,0.11816351762507206,0.49014769474024655,0.5487367269680801,0.32515960795552634,0.5,0.5,0.5,0.3333333333333333,0.6666666666666666,0.0,0.4,0.42857142857142855,0.5782967032967029,0.6152737752161377,0.030972005373806306,0.8101112723754234,0.0,,,,,0.025865741367998865
62.0,0.2857984559122308,0.3580676901402572,0.842760583282048,0.06871984741388983,0.11991373759049548,0.116647023684593,0.0045181747151450975,0.6243383450259882,1.0,0.5,0.25,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.8,0.5714285714285714,0.0,0.0,0.0,0.6715045960328979,1.0,0.18181818181818182,,,,0.026191171875829
63.0,0.2607476635514019,0.9044499618641472,0.4152544286445576,0.2054583193088747,0.4100397734173826,0.1830672112885259,0.10541104319105218,0.3456893353648148,0.5,0.0,0.25,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.4,0.42857142857142855,0.6785714285714295,0.07708933717579226,0.09295232562361577,0.9612965650701499,0.0,0.0,,,,0.18708601600173047
64.0,0.1485981308411215,1.0,0.4554528179543277,0.5366692845656158,0.5689908511184195,0.20831786112142592,0.31129869801584975,0.4895472142457236,,,,,,,,,,,,0.9605708756652153,0.0,0.0,,,,0.5729010194447703
65.0,0.2771877655055225,0.5639192149924116,0.4588225122516998,0.39357730791591444,0.4353991357853141,0.14404347972858933,0.2547985723502773,0.32629310601070627,,,,,,,,,,,,0.4216255442670537,1.0,0.5454545454545454,,,,0.3285334075045605
66.0,0.3803446261682243,0.44885446257832806,0.38350615982384145,0.07555677100863907,0.0800534902969856,0.38507240995172676,0.47615798433287254,0.2173534405415364,,,,,,,,,,,,0.7000483792936623,0.0,0.18181818181818182,,,,0.024582301303307335
67.0,0.35841121495327105,0.31891873028247425,0.7284840720672188,0.3877762818355212,0.4261812417693646,0.45030325535338533,0.4300423050491694,0.47983321340481483,0.5,0.0,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.4,0.5714285714285714,0.9443681318681345,1.0,0.04647616281180781,0.573536526366715,0.0,0.36363636363636365,0.4054878048780489,0.5348837209302325,0.6071428571428571,0.3216785492820031
68.0,0.28136539776612723,0.3932556825710798,0.6628493635117839,0.48449373756612024,0.651534497271268,0.29084437520944106,0.3541526607985671,0.38872225112629677,0.5,0.0,0.25,0.3333333333333333,0.3333333333333333,0.0,0.4,0.21428571428571427,0.5844780219780231,0.6916426512968304,0.027123198140953583,0.2622157716497339,0.0,0.7272727272727273,0.3932926829268299,0.5581395348837209,0.625,0.5788784356386983
69.0,0.2608833283087127,0.3828375888051728,0.5314605530417226,0.269269606193201,0.5094540926555258,0.4583807481762755,0.5600678324689314,0.2759387258660554,0.5,0.0,0.25,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6,0.35714285714285715,0.5583791208791222,0.6152737752161377,0.02712319814095356,0.44194484760522496,0.0,0.5454545454545454,,,,0.25769956048094844
70.0,0.2815754339118825,0.24011176978357557,0.7504068235948709,0.32743771804694055,0.30442814300757637,0.5185401304970559,0.6232395208479113,0.4316376722962063,0.5,0.5,0.25,0.3333333333333333,0.0,0.0,0.4,0.21428571428571427,0.5714285714285707,0.3083573487031685,0.04259104607675837,0.26318335752298017,0.0,0.7272727272727273,,,,0.19601991380230463
71.0,0.3007965165675446,0.20403719789285335,0.6940632196726059,0.30739063472149974,0.34475043778621844,0.3833507747358471,0.19889062457111326,0.37718102645665813,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.2,0.0,0.6813186813186827,0.3854466858789636,0.05036127954685735,0.6763425253991292,0.0,0.18181818181818182,,,,0.2131853216829689
72.0,0.26207575012297096,0.8466708471315598,0.06376021351903131,0.01786273155119371,0.03393539441661014,0.17376434029745744,0.26360003167703605,0.09722768108582348,,,,,,,,,,,,0.6069182389937107,1.0,0.2727272727272727,0.570121951219512,0.7674418604651163,0.8035714285714286,0.006825618104159821
